[2025/05/28 20:12:45] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:16:36] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:19:19] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:19:22] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/28 21:46:16] - 5 	 0.100 	 22.8 	 0.9565 	 0.6601 	 6.1453 	 0.0193 	 1.0959 	 0.6216
[2025/05/28 21:46:39] - 6 	 0.100 	 22.8 	 0.8451 	 0.7009 	 5.7466 	 0.0663 	 0.9056 	 0.6896
[2025/05/28 21:47:01] - 7 	 0.100 	 22.8 	 0.7461 	 0.7392 	 5.7696 	 0.0877 	 0.8075 	 0.7205
[2025/05/28 21:47:24] - 8 	 0.100 	 22.8 	 0.6642 	 0.7670 	 7.2707 	 0.0223 	 0.6637 	 0.7739
[2025/05/28 21:57:35] - Namespace(batch_size=256, clb_dir='./data/clean-label/0.1/', poison_target=0, poison_type='clean-label', trigger_alpha=1.0)
[2025/05/28 21:57:37] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/28 21:58:01] - 1 	 0.100 	 23.9 	 1.9299 	 0.3036 	 3.4470 	 0.0556 	 1.5670 	 0.4093
[2025/05/28 21:58:24] - 2 	 0.100 	 22.8 	 1.4777 	 0.4525 	 4.2543 	 0.0672 	 1.4331 	 0.4778
[2025/05/28 21:58:46] - 3 	 0.100 	 22.7 	 1.2379 	 0.5479 	 5.9006 	 0.0382 	 1.1246 	 0.5978
[2025/05/28 21:59:09] - 4 	 0.100 	 22.8 	 1.0364 	 0.6307 	 5.0732 	 0.0543 	 1.0008 	 0.6514
[2025/05/28 21:59:32] - 5 	 0.100 	 22.8 	 0.9096 	 0.6776 	 5.2977 	 0.0901 	 1.1269 	 0.6234
[2025/05/28 21:59:55] - 6 	 0.100 	 22.8 	 0.8182 	 0.7103 	 6.3336 	 0.0286 	 0.8155 	 0.7076
[2025/05/28 22:00:18] - 7 	 0.100 	 22.8 	 0.7284 	 0.7447 	 4.9763 	 0.0733 	 0.7855 	 0.7271
[2025/05/28 22:00:40] - 8 	 0.100 	 22.8 	 0.6581 	 0.7702 	 6.5482 	 0.0318 	 0.8167 	 0.7315
[2025/05/28 22:01:03] - 9 	 0.100 	 22.8 	 0.5813 	 0.7982 	 6.4000 	 0.0390 	 0.7029 	 0.7569
[2025/05/28 22:01:26] - 10 	 0.100 	 22.8 	 0.5229 	 0.8179 	 4.8192 	 0.1396 	 0.6593 	 0.7835
[2025/05/28 22:01:49] - 11 	 0.100 	 22.8 	 0.4796 	 0.8309 	 2.7452 	 0.3676 	 0.6420 	 0.7838
[2025/05/28 22:02:12] - 12 	 0.100 	 22.8 	 0.4426 	 0.8475 	 3.1982 	 0.2976 	 0.5722 	 0.8004
[2025/05/28 22:02:34] - 13 	 0.100 	 22.8 	 0.4152 	 0.8556 	 3.2461 	 0.2941 	 0.4702 	 0.8383
[2025/05/28 22:02:57] - 14 	 0.100 	 22.8 	 0.3896 	 0.8670 	 2.8939 	 0.3567 	 0.5399 	 0.8195
[2025/05/28 22:03:21] - 15 	 0.100 	 23.8 	 0.3790 	 0.8697 	 1.7466 	 0.6060 	 0.6699 	 0.7790
[2025/05/28 22:03:44] - 16 	 0.100 	 22.8 	 0.3579 	 0.8765 	 3.8062 	 0.2769 	 0.6414 	 0.7904
[2025/05/28 22:04:07] - 17 	 0.100 	 22.8 	 0.3448 	 0.8805 	 2.0963 	 0.5079 	 0.4643 	 0.8371
[2025/05/28 22:04:29] - 18 	 0.100 	 22.8 	 0.3402 	 0.8819 	 1.9606 	 0.5347 	 0.5382 	 0.8222
[2025/05/28 22:04:52] - 19 	 0.100 	 22.8 	 0.3283 	 0.8861 	 2.2121 	 0.4551 	 0.4598 	 0.8442
[2025/05/28 22:05:15] - 20 	 0.100 	 22.8 	 0.3245 	 0.8871 	 0.9462 	 0.7559 	 0.4573 	 0.8500
[2025/05/28 22:05:38] - 21 	 0.100 	 22.8 	 0.3113 	 0.8928 	 4.9309 	 0.1867 	 0.6337 	 0.7971
[2025/05/28 22:06:01] - 22 	 0.100 	 22.8 	 0.3018 	 0.8963 	 3.3002 	 0.3197 	 0.5103 	 0.8338
[2025/05/28 22:06:23] - 23 	 0.100 	 22.8 	 0.2896 	 0.9005 	 1.0078 	 0.7706 	 0.4367 	 0.8570
[2025/05/28 22:06:46] - 24 	 0.100 	 22.8 	 0.2927 	 0.8985 	 1.5118 	 0.6260 	 0.4404 	 0.8524
[2025/05/28 22:07:09] - 25 	 0.100 	 22.8 	 0.2839 	 0.9033 	 3.1854 	 0.3591 	 0.4565 	 0.8433
[2025/05/28 22:07:32] - 26 	 0.100 	 22.8 	 0.2809 	 0.9037 	 4.0645 	 0.1972 	 0.6318 	 0.8110
[2025/05/28 22:07:55] - 27 	 0.100 	 22.8 	 0.2762 	 0.9054 	 3.1146 	 0.3631 	 0.4572 	 0.8479
[2025/05/28 22:08:18] - 28 	 0.100 	 22.8 	 0.2606 	 0.9109 	 0.2885 	 0.9007 	 0.4801 	 0.8426
[2025/05/28 22:08:40] - 29 	 0.100 	 22.8 	 0.2621 	 0.9098 	 1.5415 	 0.6031 	 0.4902 	 0.8467
[2025/05/28 22:09:03] - 30 	 0.100 	 22.8 	 0.2602 	 0.9110 	 2.5696 	 0.4106 	 0.5357 	 0.8273
[2025/05/28 22:09:26] - 31 	 0.010 	 22.8 	 0.1453 	 0.9524 	 2.5180 	 0.4058 	 0.2421 	 0.9180
[2025/05/28 22:09:49] - 32 	 0.010 	 22.8 	 0.1043 	 0.9662 	 2.4156 	 0.4252 	 0.2324 	 0.9212
[2025/05/28 22:10:12] - 33 	 0.010 	 22.8 	 0.0880 	 0.9714 	 2.7418 	 0.3724 	 0.2270 	 0.9226
[2025/05/28 22:10:34] - 34 	 0.010 	 22.8 	 0.0762 	 0.9755 	 2.2557 	 0.4370 	 0.2253 	 0.9252
[2025/05/28 22:10:57] - 35 	 0.010 	 22.8 	 0.0679 	 0.9784 	 2.6677 	 0.3781 	 0.2318 	 0.9247
[2025/05/28 22:11:20] - 36 	 0.010 	 22.8 	 0.0627 	 0.9806 	 2.4629 	 0.4046 	 0.2349 	 0.9264
[2025/05/28 22:11:43] - 37 	 0.010 	 22.8 	 0.0539 	 0.9832 	 2.0062 	 0.4721 	 0.2326 	 0.9275
[2025/05/28 22:12:06] - 38 	 0.010 	 22.8 	 0.0480 	 0.9848 	 1.7478 	 0.5091 	 0.2405 	 0.9291
[2025/05/28 22:25:08] - Namespace(batch_size=256, clb_dir='./data/clean-label/0.1/', poison_target=0, poison_type='clean-label', trigger_alpha=1.0)
[2025/05/28 22:25:10] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/28 22:25:34] - 1 	 0.100 	 23.9 	 1.9829 	 0.2982 	 3.3749 	 0.0612 	 1.6287 	 0.3764
[2025/05/28 22:25:57] - 2 	 0.100 	 22.7 	 1.4623 	 0.4571 	 4.6559 	 0.0566 	 1.3235 	 0.5205
[2025/05/28 22:26:20] - 3 	 0.100 	 22.8 	 1.2272 	 0.5574 	 4.8830 	 0.0496 	 1.1752 	 0.5739
